pk_kpi;codigo;hospital;estado;total_int;tmi;int_cli;tmi_cli;cpi_cli;cpd_cli;total_diaria_cli;custo_total_cli;total_cobrado_cli;total_liberado_cli;total_glosado_cli;total_glosado_cli_perc;int_cir;tmi_cir;cpi_cir;cpd_cir;total_diaria_cir;custo_total_cir;total_cobrado_cir;total_liberado_cir;total_glosado_cir;total_glosado_cir_perc;total_cobrado;total_liberado;total_glosado;total_glosado_perc;referencia
20;41610;STA CASA DE MIS DE MACEIO;AL;161;2,6335;62;4,8226;13.467,62;2.792,62;299;834.992,21;910.088,17;834.992,21;75.095,96;8,25;99;1,2626;12.392,48;9.814,84;125;1.226.855,32;1.379.902,07;1.226.855,32;153.046,75;11,09;2.289.990,24;2.061.847,53;228.142,71;9,96;01/02/2022
21;41610;STA CASA DE MIS DE MACEIO;AL;107;2,486;53;3,6604;11.488,19;3.138,53;194;608.874,19;647.655,53;608.874,19;38.781,34;5,99;54;1,3333;17.268,73;12.951,54;72;932.511,18;999.666,84;932.511,18;67.155,66;6,72;1.647.322,37;1.541.385,37;105.937,00;6,43;01/03/2022
22;41610;STA CASA DE MIS DE MACEIO;AL;96;1,9688;47;3,0426;7.199,89;2.366,40;143;338.394,81;373.703,47;338.394,81;35.308,66;9,45;49;0,9388;13.090,13;13.943,84;46;641.416,58;673.041,29;641.416,58;31.624,71;4,7;1.046.744,76;979.811,39;66.933,37;6,39;01/04/2022
23;41610;STA CASA DE MIS DE MACEIO;AL;50;3,5;31;4,6774;29.294,62;6.262,99;145;908.133,16;956.247,60;908.133,16;48.114,44;5,03;19;1,5789;13.591,69;8.608,07;30;258.242,16;279.384,16;258.242,16;21.142,00;7,57;1.235.631,76;1.166.375,32;69.256,44;5,6;01/05/2022
24;41610;STA CASA DE MIS DE MACEIO;AL;126;3,381;65;5,1846;24.905,23;4.803,68;337;1.618.839,84;1.779.406,61;1.618.839,84;160.566,77;9,02;61;1,459;13.345,19;9.146,70;89;814.056,45;897.374,47;814.056,45;83.318,02;9,28;2.676.781,08;2.432.896,29;243.884,79;9,11;01/06/2022
25;50318;CARDIO PULMONAR DA BAHIA;BA;271;2,1587;121;3,6942;23.375,74;6.327,66;447;2.828.464,17;2.937.395,46;2.828.464,17;108.931,29;3,71;150;0,92;16.504,56;17.939,74;138;2.475.683,49;2.559.309,88;2.475.683,49;83.626,39;3,27;5.496.705,34;5.304.147,66;192.557,68;3,5;01/01/2022
26;50318;CARDIO PULMONAR DA BAHIA;BA;265;2,483;100;5,16;33.958,74;6.581,15;516;3.395.874,45;3.530.994,53;3.395.874,45;135.120,08;3,83;165;0,8606;20.837,87;24.213,02;142;3.438.248,58;3.552.205,94;3.438.248,58;113.957,36;3,21;7.083.200,47;6.834.123,03;249.077,44;3,52;01/02/2022
27;50318;CARDIO PULMONAR DA BAHIA;BA;279;1,9498;86;4,6395;35.673,25;7.688,97;399;3.067.899,92;3.176.158,94;3.067.899,92;108.259,02;3,41;193;0,7513;22.776,02;30.315,67;145;4.395.772,58;4.518.543,10;4.395.772,58;122.770,52;2,72;7.694.702,04;7.463.672,50;231.029,54;3;01/03/2022
28;50318;CARDIO PULMONAR DA BAHIA;BA;251;2,4661;94;4,6596;27.446,85;5.890,42;438;2.580.004,18;2.683.855,25;2.580.004,18;102.107,29;3,8;157;1,1529;20.165,81;17.491,89;181;3.166.032,53;3.330.175,54;3.166.032,53;164.143,01;4,93;6.014.030,79;5.746.036,71;266.250,30;4,43;01/04/2022
29;50318;CARDIO PULMONAR DA BAHIA;BA;162;3,5802;72;6,0694;52.065,44;8.578,29;437;3.748.711,42;4.245.473,86;3.748.711,42;268.110,15;6,32;90;1,5889;24.165,25;15.208,90;143;2.174.872,32;2.297.130,43;2.174.872,32;122.258,11;5,32;6.542.604,29;5.923.583,74;390.368,26;5,97;01/05/2022
30;50318;CARDIO PULMONAR DA BAHIA;BA;225;2,5556;92;4,663;32.777,37;7.029,18;429;3.015.518,27;3.403.863,18;3.015.518,27;286.222,32;8,41;133;1,0977;17.536,48;15.975,01;146;2.332.351,27;2.536.211,14;2.332.351,27;176.186,28;6,95;5.940.074,32;5.347.869,54;462.408,60;7,78;01/06/2022
31;441511;CLINICA FLORENCE ;BA;15;15,8667;15;15,8667;50.163,58;3.161,57;238;752.453,73;755.734,50;752.453,73;3.280,77;0,43;0;0;0;0;0;0;0;0;0;0;755.734,50;752.453,73;3.280,77;0,43;01/01/2022
32;441511;CLINICA FLORENCE ;BA;14;15,6429;14;15,6429;44.265,71;2.829,77;219;619.719,97;619.872,44;619.719,97;152,47;0,02;0;0;0;0;0;0;0;0;0;0;619.872,44;619.719,97;152,47;0,02;01/02/2022
33;441511;CLINICA FLORENCE ;BA;10;20,9;10;20,9;57.349,67;2.744,00;209;573.496,72;574.012,44;573.496,72;515,72;0,09;0;0;0;0;0;0;0;0;0;0;574.012,44;573.496,72;515,72;0,09;01/03/2022
34;441511;CLINICA FLORENCE ;BA;26;24,6923;26;24,6923;72.792,31;2.947,98;642;1.892.600,16;1.895.724,70;1.892.600,16;3.124,54;0,16;0;0;0;0;0;0;0;0;0;0;1.895.724,70;1.892.600,16;3.124,54;0,16;01/04/2022
35;441511;CLINICA FLORENCE ;BA;27;14,5556;27;14,5556;47.011,05;3.229,77;393;1.269.298,36;1.269.862,83;1.269.298,36;564,47;0,04;0;0;0;0;0;0;0;0;0;0;1.269.862,83;1.269.298,36;564,47;0,04;01/05/2022
36;441511;CLINICA FLORENCE ;BA;16;6,5;16;6,5;25.643,22;3.945,11;104;410.291,50;410.291,50;410.291,50;0;0;0;0;0;0;0;0;0;0;0;0;410.291,50;410.291,50;0;0;01/06/2022
37;33618;CLINICA SAO MATHEUS ;BA;19;4,7368;12;6,8333;24.728,24;3.618,77;82;296.738,90;302.284,86;296.738,90;5.545,96;1,83;7;1,1429;8.200,17;7.175,15;8;57.401,22;58.684,37;57.401,22;1.283,15;2,19;360.969,23;354.140,12;6.829,11;1,89;01/01/2022
38;33618;CLINICA SAO MATHEUS ;BA;13;3,3846;6;6,3333;47.973,63;7.574,78;38;287.841,79;295.590,65;287.841,79;7.748,86;2,62;7;0,8571;39.560,54;46.153,96;6;276.923,79;279.316,82;276.923,79;2.393,03;0,86;574.907,47;564.765,58;10.141,89;1,76;01/02/2022
39;33618;CLINICA SAO MATHEUS ;BA;13;2,7692;4;3,75;28.568,72;7.618,33;15;114.274,90;118.045,36;114.274,90;3.770,46;3,19;9;2,3333;22.770,29;9.758,70;21;204.932,65;207.340,71;204.932,65;2.408,06;1,16;325.386,07;319.207,55;6.178,52;1,9;01/03/2022
40;33618;CLINICA SAO MATHEUS ;BA;17;2,7647;7;5,5714;14.972,46;2.687,36;39;104.807,20;106.557,97;104.807,20;1.750,77;1,64;10;0,8;26.827,92;33.534,90;8;268.279,20;269.398,85;268.279,20;1.119,65;0,42;375.956,82;373.086,40;2.870,42;0,76;01/04/2022
41;33618;CLINICA SAO MATHEUS ;BA;22;2,4545;11;3,6364;8.564,82;2.355,33;40;94.213,00;96.537,85;94.213,00;2.324,85;2,41;11;1,2727;17.255,01;13.557,50;14;189.805,07;190.504,47;189.805,07;699,4;0,37;287.042,32;284.018,07;3.024,25;1,05;01/05/2022
42;33618;CLINICA SAO MATHEUS ;BA;19;2,3158;9;3,7778;21.569,98;5.709,70;34;194.129,80;196.933,81;194.129,80;2.804,01;1,42;10;1;25.801,27;25.801,27;10;258.012,66;258.947,40;258.012,66;934,74;0,36;455.881,21;452.142,46;3.738,75;0,82;01/06/2022
43;60917;COT CANELA ;BA;23;2;2;8,5;37.694,40;4.434,63;17;75.388,79;78.939,22;75.388,79;3.550,43;4,5;21;1,381;8.223,87;5.955,22;29;172.701,34;177.852,70;172.701,34;5.151,36;2,9;256.791,92;248.090,13;8.701,79;3,39;01/01/2022
44;60917;COT CANELA ;BA;38;2,7105;1;35;464.093,45;13.259,81;35;464.093,45;476.165,73;464.093,45;12.072,28;2,54;37;1,8378;12.520,63;6.812,69;68;463.263,16;477.145,74;463.263,16;13.882,58;2,91;953.311,47;927.356,61;25.954,86;2,72;01/02/2022
45;60917;COT CANELA ;BA;28;1,6071;1;1;18.661,81;18.661,81;1;18.661,81;19.294,94;18.661,81;633,13;3,28;27;1,6296;12.196,91;7.484,47;44;329.316,55;334.060,62;329.316,55;4.744,07;1,42;353.355,56;347.978,36;5.377,20;1,52;01/03/2022
46;60917;COT CANELA ;BA;21;1,0952;0;0;0;0;0;0;0;0;0;0;21;1,0952;10.624,43;9.700,57;23;223.113,08;230.547,36;223.113,08;7.434,28;3,22;230.547,36;223.113,08;7.434,28;3,22;01/04/2022
47;60917;COT CANELA ;BA;33;1,1212;0;0;0;0;0;0;0;0;0;0;33;1,1212;14.808,70;13.207,76;37;488.687,22;502.543,85;488.687,22;13.856,63;2,76;502.543,85;488.687,22;13.856,63;2,76;01/05/2022
48;60917;COT CANELA ;BA;24;1,0417;0;0;0;0;0;0;0;0;0;0;24;1,0417;9.112,09;8.747,60;25;218.690,04;223.490,97;218.690,04;4.800,93;2,15;223.490,97;218.690,04;4.800,93;2,15;01/06/2022
49;264911;CTO MEDICO AGENOR PAIVA;BA;9;1,7778;6;2,1667;7.383,16;3.407,61;13;44.298,94;45.107,92;44.298,94;808,98;1,79;3;1;45.262,78;45.262,78;3;135.788,33;135.892,14;135.788,33;103,81;0,08;181.000,06;180.087,27;912,79;0,5;01/01/2022
50;264911;CTO MEDICO AGENOR PAIVA;BA;16;1,8125;5;3,6;12.127,67;3.368,80;18;60.638,33;60.941,55;60.638,33;303,22;0,5;11;1;29.333,22;29.333,22;11;322.665,37;325.052,89;322.665,37;2.387,52;0,73;385.994,44;383.303,70;2.690,74;0,7;01/02/2022
51;264911;CTO MEDICO AGENOR PAIVA;BA;13;1;1;2;2.628,72;1.314,36;2;2.628,72;2.642,54;2.628,72;13,82;0,52;12;0,9167;36.501,56;39.819,88;11;438.018,68;438.251,60;438.018,68;232,92;0,05;440.894,14;440.647,40;246,74;0,06;01/03/2022
52;264911;CTO MEDICO AGENOR PAIVA;BA;12;2;5;3,4;7.365,94;2.166,45;17;36.829,69;37.093,73;36.829,69;264,04;0,71;7;1;33.508,00;33.508,00;7;234.555,97;235.570,94;234.555,97;1.014,97;0,43;272.664,67;271.385,66;1.279,01;0,47;01/04/2022
53;264911;CTO MEDICO AGENOR PAIVA;BA;17;1,7647;6;3,1667;5.119,36;1.616,64;19;30.716,18;31.589,27;30.716,18;873,09;2,76;11;1;44.622,67;44.622,67;11;490.849,33;491.367,17;490.849,33;517,84;0,11;522.956,44;521.565,51;1.390,93;0,27;01/05/2022
54;264911;CTO MEDICO AGENOR PAIVA;BA;9;1,4444;4;2;7.733,60;3.866,80;8;30.934,41;31.006,96;30.934,41;72,55;0,23;5;1;74.180,67;74.180,67;5;370.903,35;370.903,35;370.903,35;0;0;401.910,31;401.837,76;72,55;0,02;01/06/2022
55;63819;EMEC - EMPREENDIMENTOS MEDICO CIRURGICOS LTDA;BA;65;2,6;34;4,2353;14.604,94;3.448,39;144;496.568,02;507.474,05;496.568,02;10.906,03;2,15;31;0,8065;28.183,36;34.947,37;25;873.684,28;879.237,76;873.684,28;5.553,48;0,63;1.386.711,81;1.370.252,30;16.459,51;1,19;01/01/2022
56;63819;EMEC - EMPREENDIMENTOS MEDICO CIRURGICOS LTDA;BA;79;2,8228;48;4,1875;16.504,40;3.941,35;201;792.211,15;852.914,23;792.211,15;60.703,08;7,12;31;0,7097;13.234,72;18.648,92;22;410.276,17;415.467,34;410.276,17;5.191,17;1,25;1.268.381,57;1.202.487,32;65.894,25;5,2;01/02/2022
57;63819;EMEC - EMPREENDIMENTOS MEDICO CIRURGICOS LTDA;BA;95;2,8737;60;4,0167;14.410,42;3.587,66;241;864.625,07;870.580,57;864.625,07;5.955,50;0,68;35;0,9143;14.515,18;15.875,98;32;508.031,36;509.421,01;508.031,36;1.389,65;0,27;1.380.001,58;1.372.656,43;7.345,15;0,53;01/03/2022
58;63819;EMEC - EMPREENDIMENTOS MEDICO CIRURGICOS LTDA;BA;75;2,4267;38;3,8947;14.853,68;3.813,78;148;564.439,91;571.658,27;564.439,91;7.218,36;1,26;37;0,9189;7.449,93;8.107,27;34;275.647,27;277.038,00;275.647,27;1.390,73;0,5;848.696,27;840.087,18;8.609,09;1,01;01/04/2022
59;63819;EMEC - EMPREENDIMENTOS MEDICO CIRURGICOS LTDA;BA;100;2,26;48;3,9167;16.061,85;4.100,90;188;770.969,03;779.901,38;770.969,03;8.932,35;1,15;52;0,7308;12.820,45;17.543,77;38;666.663,17;693.673,22;666.663,17;27.010,05;3,89;1.473.574,60;1.437.632,20;35.942,40;2,44;01/05/2022
60;63819;EMEC - EMPREENDIMENTOS MEDICO CIRURGICOS LTDA;BA;81;2,6296;40;4,5;15.919,21;3.537,60;180;636.768,30;649.530,29;636.768,30;12.761,99;1,96;41;0,8049;16.688,66;20.734,39;33;684.234,96;686.586,61;684.234,96;2.351,65;0,34;1.336.116,90;1.321.003,26;15.113,64;1,13;01/06/2022
61;396710;HBA - HOSPITAL DA BAHIA;BA;43;4,3721;24;6,7083;29.926,54;4.461,10;161;718.236,84;734.624,17;718.236,84;16.387,33;2,23;19;1,4211;9.785,63;6.886,19;27;185.927,03;189.107,72;185.927,03;3.180,69;1,68;923.731,89;904.163,87;19.568,02;2,12;01/01/2022
62;396710;HBA - HOSPITAL DA BAHIA;BA;69;4,2029;33;6,9697;44.986,50;6.454,58;230;1.484.554,47;1.510.822,05;1.484.554,47;26.267,58;1,74;36;1,6667;23.751,97;14.251,18;60;855.070,83;876.575,90;855.070,83;21.505,07;2,45;2.387.397,95;2.339.625,30;47.772,65;2;01/02/2022
63;396710;HBA - HOSPITAL DA BAHIA;BA;78;4,859;35;9,1143;49.301,02;5.409,20;319;1.725.535,64;1.798.318,39;1.725.535,64;72.782,75;4,05;43;1,3953;23.506,09;16.846,03;60;1.010.761,78;1.051.049,12;1.010.761,78;40.287,34;3,83;2.849.367,51;2.736.297,42;113.070,09;3,97;01/03/2022
64;396710;HBA - HOSPITAL DA BAHIA;BA;62;3,4355;27;5,9259;23.689,24;3.997,56;160;639.609,56;662.293,74;639.609,56;22.684,18;3,43;35;1,5143;28.271,63;18.669,94;53;989.506,90;1.015.760,51;989.506,90;26.253,61;2,58;1.678.054,25;1.629.116,46;48.937,79;2,92;01/04/2022
65;396710;HBA - HOSPITAL DA BAHIA;BA;59;3,6441;23;6,913;38.267,64;5.535,57;159;880.155,70;911.277,86;880.155,70;31.122,16;3,42;36;1,5556;32.774,58;21.069,37;56;1.179.885,00;1.402.422,20;1.179.885,00;222.537,20;15,87;2.313.700,06;2.060.040,70;253.659,36;10,96;01/05/2022
66;396710;HBA - HOSPITAL DA BAHIA;BA;74;3,9865;30;6,5667;36.303,20;5.528,41;197;1.089.096,11;1.144.036,06;1.089.096,11;54.939,95;4,8;44;2,2273;23.974,14;10.763,90;98;1.054.862,13;1.114.867,96;1.054.862,13;60.005,83;5,38;2.258.904,02;2.143.958,24;114.945,78;5,09;01/06/2022
67;371815;HOSPITAL AEROPORTO ;BA;55;3,8545;37;5,0811;24.795,88;4.880,04;188;917.447,69;998.314,85;917.447,69;80.867,16;8,1;18;1,3333;43.573,35;32.680,01;24;784.320,35;787.884,57;784.320,35;3.564,22;0,45;1.786.199,42;1.701.768,04;84.431,38;4,73;01/01/2022
68;371815;HOSPITAL AEROPORTO ;BA;36;2,7222;20;3,8;21.992,87;5.787,60;76;439.857,47;449.894,77;439.857,47;10.037,30;2,23;16;1,375;53.438,29;38.864,21;22;855.012,69;860.472,34;855.012,69;5.459,65;0,63;1.310.367,11;1.294.870,16;15.496,95;1,18;01/02/2022
69;371815;HOSPITAL AEROPORTO ;BA;54;3,5926;37;4,7838;26.234,88;5.484,13;177;970.690,65;996.671,17;970.690,65;25.980,52;2,61;17;1;17.201,77;17.201,77;17;292.430,06;302.163,26;292.430,06;9.733,20;3,22;1.298.834,43;1.263.120,71;35.713,72;2,75;01/03/2022
70;371815;HOSPITAL AEROPORTO ;BA;44;2,2273;23;3,5217;22.652,60;6.432,22;81;521.009,73;526.498,45;521.009,73;5.488,72;1,04;21;0,8095;16.939,80;20.925,64;17;355.735,83;371.431,70;355.735,83;15.695,87;4,23;897.930,15;876.745,56;21.184,59;2,36;01/04/2022
71;371815;HOSPITAL AEROPORTO ;BA;49;2,7959;22;4,5455;19.118,15;4.205,99;100;420.599,19;434.385,04;420.599,19;11.157,98;2,57;27;1,3704;20.092,95;14.662,42;37;542.509,65;546.687,52;542.509,65;4.177,87;0,76;981.072,56;963.108,84;15.335,85;1,56;01/05/2022
72;371815;HOSPITAL AEROPORTO ;BA;52;3,0385;33;4;22.728,08;5.682,02;132;750.026,67;772.231,76;750.026,67;22.205,09;2,88;19;1,3684;10.944,60;7.997,97;26;207.947,31;235.442,11;207.947,31;27.494,80;11,68;1.007.673,87;957.973,98;49.699,89;4,93;01/06/2022
73;152315;HOSPITAL ALIANCA;BA;519;3,1657;324;4,0988;23.135,29;5.644,45;1328;7.495.834,08;8.085.285,85;7.495.834,08;589.451,77;7,29;195;1,6154;18.583,40;11.504,01;315;3.623.763,38;3.799.273,42;3.623.763,38;175.510,04;4,62;11.884.559,27;11.119.597,46;764.961,81;6,44;01/01/2022
74;152315;HOSPITAL ALIANCA;BA;499;3,2224;280;4,4464;26.630,28;5.989,14;1245;7.456.477,13;8.239.787,35;7.456.477,13;783.310,22;9,51;219;1,6575;22.222,50;13.406,96;363;4.866.727,14;5.475.373,46;4.866.727,14;608.646,32;11,12;13.715.160,81;12.323.204,27;1.391.956,54;10,15;01/02/2022
75;152315;HOSPITAL ALIANCA;BA;586;2,872;322;4,3323;24.513,54;5.658,32;1395;7.893.358,88;8.560.847,98;7.893.358,88;667.489,10;7,8;264;1,0909;15.542,95;14.247,70;288;4.103.337,90;4.355.036,18;4.103.337,90;251.698,28;5,78;12.915.884,16;11.996.696,78;919.187,38;7,12;01/03/2022
76;152315;HOSPITAL ALIANCA;BA;563;2,4867;317;3,7319;19.882,30;5.327,72;1183;6.302.688,36;6.892.493,54;6.302.688,36;435.720,94;6,32;246;0,8821;13.392,65;15.182,45;217;3.294.591,97;3.508.796,23;3.294.591,97;214.204,26;6,1;10.401.289,77;9.597.280,33;649.925,20;6,25;01/04/2022
77;152315;HOSPITAL ALIANCA;BA;385;3,2701;216;4,6111;28.546,68;6.190,85;996;6.166.082,81;6.957.907,16;6.166.082,81;617.762,90;8,88;169;1,5562;17.456,30;11.217,16;263;2.950.113,91;3.195.022,33;2.950.113,91;244.908,42;7,67;10.152.929,49;9.116.196,72;862.671,32;8,5;01/05/2022
78;152315;HOSPITAL ALIANCA;BA;460;3,1957;269;4,3903;25.045,48;5.704,69;1181;6.737.233,01;7.593.605,89;6.737.233,01;693.599,54;9,13;191;1,5131;14.450,27;9.550,18;289;2.760.001,30;3.023.982,35;2.760.001,30;241.760,75;7,99;10.617.588,24;9.497.234,31;935.360,29;8,81;01/06/2022
79;376515;HOSPITAL ORTOPEDICO;BA;8;0,625;0;0;0;0;0;0;0;0;0;0;8;0,625;11.036,61;17.658,57;5;88.292,86;88.397,96;88.292,86;105,1;0,12;88.397,96;88.292,86;105,1;0,12;01/01/2022
80;376515;HOSPITAL ORTOPEDICO;BA;10;0,7;1;1;9.111,93;9.111,93;1;9.111,93;9.262,66;9.111,93;150,73;1,63;9;0,6667;17.902,78;26.854,17;6;161.125,01;161.445,74;161.125,01;320,73;0,2;170.708,40;170.236,94;471,46;0,28;01/02/2022
81;376515;HOSPITAL ORTOPEDICO;BA;11;1,0909;3;1,6667;16.574,34;9.944,60;5;49.723,02;49.752,94;49.723,02;29,92;0,06;8;0,875;5.639,35;6.444,97;7;45.114,81;45.335,11;45.114,81;220,3;0,49;95.088,05;94.837,83;250,22;0,26;01/03/2022
82;376515;HOSPITAL ORTOPEDICO;BA;15;0,7333;0;0;0;0;0;0;0;0;0;0;15;0,7333;10.574,42;14.419,67;11;158.616,35;158.929,37;158.616,35;313,02;0,2;158.929,37;158.616,35;313,02;0,2;01/04/2022
83;376515;HOSPITAL ORTOPEDICO;BA;20;1;0;0;0;0;0;0;0;0;0;0;20;1;16.438,89;16.438,89;20;328.777,87;329.279,30;328.777,87;501,43;0,15;329.279,30;328.777,87;501,43;0,15;01/05/2022
84;376515;HOSPITAL ORTOPEDICO;BA;12;0,9167;0;0;0;0;0;0;0;0;0;0;12;0,9167;13.838,74;15.096,80;11;166.064,82;166.292,32;166.064,82;227,5;0,14;166.292,32;166.064,82;227,5;0,14;01/06/2022
85;28916;HOSPITAL PORTUGUES (SSA);BA;126;1,0794;76;1,5526;19.744,94;12.717,08;118;1.500.615,28;1.550.067,69;1.500.615,28;49.452,41;3,19;50;0,36;42.314,59;117.540,53;18;2.115.729,47;2.175.818,89;2.115.729,47;60.089,42;2,76;3.725.886,58;3.616.344,75;109.541,83;2,94;01/01/2022
86;28916;HOSPITAL PORTUGUES (SSA);BA;173;2,2254;90;3,4556;16.190,94;4.685,48;311;1.457.184,88;1.524.048,70;1.457.184,88;66.863,82;4,39;83;0,8916;46.271,89;51.899,56;74;3.840.567,28;3.964.026,81;3.840.567,28;123.459,53;3,11;5.488.075,51;5.297.752,16;190.323,35;3,47;01/02/2022
